lcbm,lcdm,lcyn
列车编码,列车代码,列车运量
321,G8531,1106
322,G8532,1106
323,G8533,1106
324,G8534,552
325,G8535,1106
326,G8536,1106
327,G8537,1106
328,G8538,1106
329,G8539,552
330,G8540,1106
331,G8541,1106
332,G8542,1106
333,G8543,1106
334,G8544,1106
335,G8545,552
336,G8546,1106
337,G8547,1106
338,G8548,1106
339,G8549,1106
340,G8550,1106
341,G8551,1106
342,G8552,552
343,G8553,1106
344,G8554,1106
345,G8555,1106
346,G8556,1106
347,G8557,1106
348,G8558,1106
349,G8560,1106
350,G8561,552
351,G8562,552
693,K1004,1842
740,K1022,#N/A
694,K1034,1696
617,K1048,#N/A
760,K1049,#N/A
597,K1064,1653
676,K1076,#N/A
542,K1077,1872
741,K1094,1563
742,K1098,1494
90,K111,1475
91,K112,1770
761,K113,1210
762,K1139,1482
508,K1154,1525
509,K1158,1783
14,K117,1453
695,K1174,1680
7,K118,1327
618,K1196,#N/A
510,K1202,1676
598,K1212,1878
570,K1222,#N/A
30,K1223,1266
31,K1224,1535
525,K1247,2110
240,K1248,2118
241,K1250,#N/A
92,K1252,#N/A
743,K1258,1442
744,K1270,1666
526,K1272,#N/A
657,K1342,1848
5,K1363,1548
6,K1364,1423
224,K140,#N/A
731,K141,#N/A
352,K143,#N/A
462,K144,1326
763,K145,1349
275,K1501,#N/A
577,K1536,2007
673,K1574,1340
696,K1582,1725
242,K159,990
599,K16,1519
243,K160,1110
573,K1616,1599
276,K165,1244
277,K166,1623
244,K167,1751
245,K168,1736
59,K191,#N/A
353,K193,#N/A
671,K196,1635
60,K201,1779
61,K202,1837
666,K2038,#N/A
535,K2056,#N/A
662,K2058,1719
600,K206,1468
619,K2060,1331
592,K2066,#N/A
697,K2120,#N/A
745,K2202,#N/A
698,K2232,#N/A
699,K2322,#N/A
620,K2332,#N/A
500,K246,1504
481,K258,1635
677,K2678,#N/A
601,K284,1515
578,K292,1737
660,K335,1662
28,K351,1432
29,K352,1629
746,K358,2017
747,K3806,732
