zdid,zdmc,station_code,station_telecode,station_shortname
196,阳明堡,14378,YVV,阳
197,薛孤,14387,XVV,薛
198,原平,14390,YPV,原
199,万水泉,14486,WAC,万
200,包头,14489,BTC,包
201,包头西,14507,BXC,包
202,哈业胡同,14570,HTC,哈
203,白彦花,14576,BHC,白
204,公庙子,14588,GMC,公
205,乌拉山,14594,WSC,乌
206,乌拉特前旗,14600,WQC,乌
207,西小召,14612,XZC,西
208,东土城,14618,DTC,东
209,五原,14624,WYC,五
210,四分滩,14636,SFC,四
211,杜家台,14642,DJC,杜
212,临河,14648,LHC,临
213,头道桥,14678,TDC,头
214,巴彦高勒,14690,BAC,巴
215,杭锦旗,14696,HJC,杭
216,桃司兔,14705,TTC,桃
217,碱柜,14717,JGC,碱
218,乌海北,14723,WBC,乌
219,乌海,14729,WVC,乌
220,乌海西,14759,WXC,乌
221,惠农,14789,HMJ,惠
222,平罗,14822,SZJ,平
223,石嘴山,14825,QQJ,石
224,西大滩,14828,XAJ,西
225,暖泉,14834,NQJ,暖
226,银川,14846,YIJ,银
227,银川南,14866,YEJ,银
228,黄羊滩,14876,HGJ,黄
229,大坝,14888,DBJ,大
230,青铜峡,14894,QTJ,青
231,中宁,14915,VNJ,中
232,黄羊湾,14921,HWJ,黄
233,柳家庄,14924,LKJ,柳
234,中卫,14933,ZWJ,中
235,迎水桥,14954,YQJ,迎
236,沙坡头,14957,SFJ,沙
237,干塘,14978,GNJ,干
238,营盘水,15002,YZJ,营
239,长城,15011,CEJ,长
240,景泰,15014,JTJ,景
241,兴泉堡,15017,XQJ,兴
242,红岘台,15032,HTJ,红
243,红砂岘,15041,VSJ,红
244,白银西,15044,BXJ,白
245,朱家窑,15068,ZUJ,朱
246,丰水村,15071,FSJ,丰
247,皋兰,15077,GEJ,皋
248,邵家堂,15086,SJJ,邵
249,水源,15089,OYJ,水
250,兰州东,15104,LVJ,兰
251,杭锦后旗,15800,HDC,杭
252,呼和温都尔,15803,HPC,呼
253,农垦四团,15806,NKC,农
254,毛德呼热,15809,MFC,毛
255,查干得日斯,15812,CPC,查
256,多尔本毛道,15815,DGC,多
257,图克木庙,15818,TKC,图
258,莫尔格,15821,MEC,莫
259,格勒,15824,GKC,格
260,互做布其,15827,HZC,互
261,苏宏图,15830,SKC,苏
262,阿达日嘎,15833,AEC,阿
263,塔拉哈尔,15836,TLC,塔
264,沃博尔,15839,WEC,沃
265,辉森乌拉西,15842,HXC,辉
266,天鹅湖,15845,TEC,天
267,额济纳,15848,EJC,额
268,京津所,16007,JTP,京
269,天津西,16010,TXP,津
270,杨柳青,16016,YQP,杨
271,静海,16031,JHP,静
272,唐官屯,16040,TUP,唐
273,青县,16046,QXP,青
274,沧州,16058,COP,沧
275,泊头,16088,BZP,泊
276,东光,16094,DGP,东
277,吴桥,16109,WUP,吴
278,德州,16115,DZP,德
279,平原,16148,PYK,平
280,禹城,16160,YCK,禹
281,晏城北,16171,YYK,晏
282,晏城,16172,YEK,晏
283,桥南,16283,QNK,桥
284,济南,16295,JNK,济
285,党家庄,16319,DJK,党
286,泰山,16352,TAK,泰
287,磁窑,16373,CYK,磁
288,兖州,16400,YZK,兖
289,邹城,16463,ZIK,邹
290,滕州,16487,TXK,滕
291,枣庄西,16505,ZFK,枣
292,灵璧,16607,GMH,灵
293,泗县,16611,GPH,泗
294,泗洪,16615,GQH,泗
295,洋河,16619,GTH,洋
296,泗阳,16623,MPH,泗
297,徐州,16628,XCH,徐
298,符离集,16664,FLH,符
299,宿州,16670,OXH,宿
300,固镇,16694,GEH,固
301,凤阳,16739,FUH,凤
302,明光,16751,MGH,明
303,滁州北,16775,CUH,滁
304,永宁镇,16799,YNH,永
305,林场,16802,LIH,林
306,南京南,16804,NKH,南
307,南京,16805,NJH,宁
308,浦口,16806,PKH,浦
309,亭子山,16807,EFH,亭
310,全椒,16810,INH,全
311,巢北,16816,ICH,巢
312,肥东,16819,FIH,肥
313,金寨,16825,JZH,金
314,墩义堂,16827,RTH,墩
315,麻城北,16829,MBN,麻
316,红安西,16831,VXN,红
317,青龙山,17102,QGH,青
318,如皋,17120,RBH,如
319,涡阳,17198,GYH,涡
320,袁寨,17246,YRH,袁
321,颍上,17264,YVH,颍
322,张集,17270,VJH,张
323,六合,17361,KLH,六
324,仪征,17363,UZH,仪
325,扬州,17364,YLH,扬
326,江都,17366,UDH,江
327,泰州,17368,UTH,泰
328,姜堰,17369,UEH,姜
329,海安县,17370,HIH,海
330,栟茶,17373,FWH,栟
331,如东,17376,RIH,如
332,济南东,17699,JAK,济
333,章丘,17748,ZTK,章
334,淄博,17786,ZBK,淄
335,临淄,17861,LZK,临
336,青州市,17882,QZK,青
337,昌乐,17903,CLK,昌
338,潍坊,17912,WFK,潍
339,高密,17960,GMK,高
340,胶州北,17963,JZK,胶
341,胶州,17984,JXK,胶
342,蓝村,17999,LCK,蓝
343,即墨,18053,JMK,即
344,城阳,18056,CEK,城
345,沧口,18065,CKK,沧
346,四方,18077,SFK,四
347,大港,18086,DGK,大
348,青岛北,18088,QHK,青
349,青岛,18089,QDK,青
350,莱西,18515,LXK,莱
351,莱阳,18521,LYK,莱
352,海阳,18533,HYK,海
353,桃村,18539,TCK,桃
354,烟台,18557,YAK,烟
355,袁北,18851,WNH,袁
356,南通,19124,NUH,南
357,诸城,19286,ZQK,诸
358,五莲,19290,WLK,五
359,莒县,19294,JKK,莒
360,沂水,19295,YUK,沂
361,沂南,19297,YNK,沂
362,临沂北,19298,UYK,临
363,临沂南,19300,UNK,临
364,郯城,19304,TZK,郯
365,新沂西,19308,XDK,新
366,水家湖,19385,SQH,水
367,合肥南,19423,ENH,合
368,合肥,19424,HFH,合
369,合肥北城,19427,COH,合
370,淮南东,19430,HOH,淮
371,三十里铺,19465,LAH,三
372,蚌埠,19583,BBH,蚌
373,淮南,19682,HAH,淮
374,合肥西,19808,HTH,合
375,肥西,19826,FAH,肥
376,舒城,19844,OCH,舒
377,庐江,19862,UJH,庐
378,柯坦,19880,KTH,柯
379,桐城,19907,TTH,桐
380,安庆西,19943,APH,安
381,天柱山,19945,QWH,安
382,太湖,19988,TKH,太
383,宿松,20015,OAH,宿
384,黄梅,20033,VEH,黄
385,西道口,20153,IUP,西
386,良乡,20255,LAP,良
387,琉璃河,20261,LLP,琉
388,涿州,20276,ZXP,涿
389,高碑店,20282,GBP,高
390,定兴,20291,DQP,定
391,徐水,20300,XSP,徐
392,保定,20306,BDP,保
393,于家庄,20327,YRP,于
394,完县,20330,WXP,完
395,望都,20333,WDP,望
396,清风店,20336,QFP,清
397,定州,20339,DXP,定
398,寨西店,20348,ZFP,寨
399,承安铺,20351,CAP,承
400,新乐,20354,ELP,新
401,新安村,20357,XCP,新
402,正定,20360,ZDP,正
403,石家庄,20372,SJP,石
404,获鹿所,20375,KLP,获
405,元氏,20471,YSP,元
406,高邑,20477,GIP,高
407,邢台,20495,XTP,邢
408,沙河市,20510,VOP,沙
409,邯郸,20519,HDP,邯
410,马头,20543,MTP,马
411,磁县,20555,CIP,磁
412,安阳,20564,AYF,安
413,汤阴,20588,TYF,汤
414,鹤壁,20594,HAF,鹤
415,卫辉,20606,WHF,卫
416,新乡,20612,XXF,新
417,焦作东,20642,WEF,焦
418,郑州,20750,ZZF,郑
419,新郑,20780,XNF,新
420,长葛,20786,CEF,长
421,许昌,20792,XCF,许
422,临颍,20807,LNF,临
423,孟庙,20813,MMN,孟
424,漯河,20816,LON,漯
425,西平,20843,XPN,西
426,遂平,20852,SON,遂
427,驻马店,20858,ZDN,驻
428,确山,20870,QSN,确
429,明港,20888,MGN,明
430,信阳,20903,XUN,信
431,广水,20948,GSN,广
432,花园,20981,HUN,广
433,孝感,20990,XGN,孝
434,武汉北,21012,WZN,武
435,滠口,21014,SKN,滠
436,丹水池,21026,DCN,丹
437,汉口,21050,HKN,汉
438,汉西,21059,HXN,汉
439,武昌,21077,WCN,武
440,余家湾,21086,YWN,余
441,武昌南,21089,WNN,武
442,北京西,21152,BXP,京
443,午汲,21344,WJP,午
444,林村,21410,LCP,林
445,康城,21416,KCP,康
446,武安,21419,WAP,武
447,磁山,21425,CSP,磁
448,磁西,21494,CRP,磁
449,徘徊北,21497,PHP,徘
450,新固镇,21500,XQP,新
451,什里店,21503,OMP,什
452,阳邑,21506,ARP,阳
453,豆庄,21509,ROP,豆
454,东戌,21512,RXP,东
455,偏店,21515,PRP,偏
456,井店,21518,JFP,井
457,涉县,21521,OEP,涉
458,弹音,21542,TEP,弹
459,悬钟,21545,XRP,悬
460,南峧,21551,NJP,南
461,东阳关,21557,RGP,东
462,黎城,21560,UCP,黎
463,水洋,21563,OYP,水
464,常村,21566,VCP,常
465,漫流河,21569,MIP,漫
466,微子镇,21575,WQP,微
467,潞城,21578,UTP,潞
468,北舍,21581,BNP,北
469,平顶山,21857,PEN,平
470,肖马杨所,21881,EEN,肖
471,何刘,21959,HIN,何
472,华容,21971,HRN,华
473,鄂州,21977,ECN,鄂
474,铁山,21986,TSN,铁
475,阳新,22043,YON,阳
476,西河村,22061,EHN,西
477,瑞昌,22088,RCG,瑞
478,九里垄,22100,VLG,九
479,黄石,22127,HSN,黄
480,周口,22367,ZKN,周
481,项城,22373,ERN,项
482,沈丘,22377,SQN,沈
483,界首市,22387,JUN,界
484,太和县,22391,JYN,太
485,杜家坎所,22501,DTP,杜
486,涿州东,22504,ZAP,涿
487,高碑店东,22507,GMP,高
488,徐水东,22510,EAP,徐
489,保定东,22513,BMP,保
490,定州东,22516,DOP,定
491,正定机场,22519,ZHP,正
492,高邑西,22522,GNP,高
493,邢台东,22525,EDP,邢
494,邯郸东,22528,HPP,邯
495,安阳东,22531,ADF,安
496,鹤壁东,22534,HFF,鹤
497,新乡东,22537,EGF,新
498,咸宁,22691,XNN,咸
499,赤壁,22717,CBN,赤
500,蒲圻,22718,PQN,蒲
501,临湘,22760,LXQ,临
502,路口铺,22766,LKQ,路
503,岳阳,22799,YYQ,岳
504,汨罗,22841,MLQ,汨
505,捞刀河,22868,LHQ,捞
506,长沙,22874,CSQ,长
507,株洲,23021,ZZQ,株
508,衡山,23078,HSQ,衡
509,茶山坳,23114,CCQ,茶
510,衡阳北,23117,HKQ,衡
511,衡阳,23165,HYQ,衡
512,太山所,23169,PBQ,太
513,耒阳,23210,LYQ,耒
514,马田墟,23231,MXQ,马
515,郴州,23249,CZQ,郴
516,坪石,23303,PSQ,坪
517,乐昌,23321,LCQ,乐
518,韶关东,23348,SGQ,韶
519,青溪,23396,QIW,青
520,英德,23408,YDQ,英
521,连江口,23417,LJQ,连
522,源潭,23441,YTQ,源
